DATE,recession_flag,year,quarter
1984-01-01,0.0,1984,1
1984-04-01,0.0,1984,2
1984-07-01,0.0,1984,3
1984-10-01,0.0,1984,4
1985-01-01,0.0,1985,1
1985-04-01,0.0,1985,2
1985-07-01,0.0,1985,3
1985-10-01,0.0,1985,4
1986-01-01,0.0,1986,1
1986-04-01,0.0,1986,2
1986-07-01,0.0,1986,3
1986-10-01,0.0,1986,4
1987-01-01,0.0,1987,1
1987-04-01,0.0,1987,2
1987-07-01,0.0,1987,3
1987-10-01,0.0,1987,4
1988-01-01,0.0,1988,1
1988-04-01,0.0,1988,2
1988-07-01,0.0,1988,3
1988-10-01,0.0,1988,4
1989-01-01,0.0,1989,1
1989-04-01,0.0,1989,2
1989-07-01,0.0,1989,3
1989-10-01,1.0,1989,4
1990-01-01,1.0,1990,1
1990-04-01,1.0,1990,2
1990-07-01,1.0,1990,3
1990-10-01,1.0,1990,4
1991-01-01,1.0,1991,1
1991-04-01,0.0,1991,2
1991-07-01,0.0,1991,3
1991-10-01,0.0,1991,4
1992-01-01,0.0,1992,1
1992-04-01,0.0,1992,2
1992-07-01,0.0,1992,3
1992-10-01,0.0,1992,4
1993-01-01,0.0,1993,1
1993-04-01,0.0,1993,2
1993-07-01,0.0,1993,3
1993-10-01,0.0,1993,4
1994-01-01,0.0,1994,1
1994-04-01,0.0,1994,2
1994-07-01,0.0,1994,3
1994-10-01,0.0,1994,4
1995-01-01,0.0,1995,1
1995-04-01,0.0,1995,2
1995-07-01,0.0,1995,3
1995-10-01,0.0,1995,4
1996-01-01,0.0,1996,1
1996-04-01,0.0,1996,2
1996-07-01,0.0,1996,3
1996-10-01,0.0,1996,4
1997-01-01,0.0,1997,1
1997-04-01,0.0,1997,2
1997-07-01,0.0,1997,3
1997-10-01,0.0,1997,4
1998-01-01,0.0,1998,1
1998-04-01,0.0,1998,2
1998-07-01,0.0,1998,3
1998-10-01,0.0,1998,4
1999-01-01,0.0,1999,1
1999-04-01,0.0,1999,2
1999-07-01,0.0,1999,3
1999-10-01,0.0,1999,4
2000-01-01,0.0,2000,1
2000-04-01,0.0,2000,2
2000-07-01,0.0,2000,3
2000-10-01,0.0,2000,4
2001-01-01,1.0,2001,1
2001-04-01,1.0,2001,2
2001-07-01,1.0,2001,3
2001-10-01,0.0,2001,4
2002-01-01,0.0,2002,1
2002-04-01,0.0,2002,2
2002-07-01,0.0,2002,3
2002-10-01,0.0,2002,4
2003-01-01,0.0,2003,1
2003-04-01,0.0,2003,2
2003-07-01,0.0,2003,3
2003-10-01,0.0,2003,4
2004-01-01,0.0,2004,1
2004-04-01,0.0,2004,2
2004-07-01,0.0,2004,3
2004-10-01,0.0,2004,4
2005-01-01,0.0,2005,1
2005-04-01,0.0,2005,2
2005-07-01,0.0,2005,3
2005-10-01,0.0,2005,4
2006-01-01,0.0,2006,1
2006-04-01,0.0,2006,2
2006-07-01,0.0,2006,3
2006-10-01,0.0,2006,4
2007-01-01,0.0,2007,1
2007-04-01,0.0,2007,2
2007-07-01,0.0,2007,3
2007-10-01,1.0,2007,4
2008-01-01,1.0,2008,1
2008-04-01,1.0,2008,2
2008-07-01,1.0,2008,3
2008-10-01,1.0,2008,4
2009-01-01,1.0,2009,1
2009-04-01,1.0,2009,2
2009-07-01,0.0,2009,3
2009-10-01,0.0,2009,4
2010-01-01,0.0,2010,1
2010-04-01,0.0,2010,2
2010-07-01,0.0,2010,3
2010-10-01,0.0,2010,4
2011-01-01,0.0,2011,1
2011-04-01,0.0,2011,2
2011-07-01,0.0,2011,3
2011-10-01,0.0,2011,4
2012-01-01,0.0,2012,1
2012-04-01,0.0,2012,2
2012-07-01,0.0,2012,3
2012-10-01,0.0,2012,4
2013-01-01,0.0,2013,1
2013-04-01,0.0,2013,2
2013-07-01,0.0,2013,3
2013-10-01,0.0,2013,4
2014-01-01,0.0,2014,1
2014-04-01,0.0,2014,2
2014-07-01,0.0,2014,3
2014-10-01,0.0,2014,4
2015-01-01,0.0,2015,1
2015-04-01,0.0,2015,2
2015-07-01,0.0,2015,3
2015-10-01,0.0,2015,4
2016-01-01,0.0,2016,1
2016-04-01,0.0,2016,2
2016-07-01,0.0,2016,3
2016-10-01,0.0,2016,4
2017-01-01,0.0,2017,1
2017-04-01,0.0,2017,2
2017-07-01,0.0,2017,3
2017-10-01,0.0,2017,4
2018-01-01,0.0,2018,1
2018-04-01,0.0,2018,2
2018-07-01,0.0,2018,3
2018-10-01,0.0,2018,4
2019-01-01,0.0,2019,1
2019-04-01,0.0,2019,2
2019-07-01,0.0,2019,3
2019-10-01,0.0,2019,4
2020-01-01,1.0,2020,1
2020-04-01,1.0,2020,2
2020-07-01,0.0,2020,3
2020-10-01,0.0,2020,4
2021-01-01,0.0,2021,1
2021-04-01,0.0,2021,2
2021-07-01,0.0,2021,3
2021-10-01,0.0,2021,4
2022-01-01,0.0,2022,1
2022-04-01,0.0,2022,2
2022-07-01,0.0,2022,3
